5024	960	-16724	-37	-14	-5
5016	1012	-16348	-32	-17	-2
4972	1024	-16424	-53	-8	-7
5044	1000	-16600	-40	-19	1
5004	1008	-16464	-34	-16	-1
4996	844	-16424	-33	-20	-1
4984	880	-16544	-34	-19	-5
4956	948	-16420	-34	-19	-5
4968	964	-16420	-41	-12	-6
5088	968	-16480	-45	-17	0
4980	1060	-16492	-40	-11	-3
5052	948	-16540	-42	-15	-1
4952	968	-16324	-29	-21	-2
4860	936	-16508	-28	-18	0
5024	1048	-16692	-43	-10	1
4880	856	-16452	2	-30	8
5532	-420	-16760	194	-895	188
-4648	-124	-16536	-153	-735	143
-4148	136	-16292	-38	375	157
-4064	180	-16236	-98	-152	3
-4072	288	-16520	-22	30	9
-4212	340	-16820	-53	-49	-2
-4096	268	-16600	-24	10	4
-4072	316	-16412	-47	-39	-16
-4072	348	-16452	-54	-18	-17
-4008	312	-16460	-32	-9	3
-3996	216	-16496	-33	-7	-3
-3972	280	-16576	-40	-23	-4
-3784	244	-16596	-27	24	-2
-3960	292	-16496	-47	-17	-3
-4016	328	-16596	-40	-48	13
-3200	-1160	-18284	408	1019	-45
10472	1804	-6960	-673	3664	251
15656	1580	-4400	16	-140	27
15764	1464	-6484	11	-70	-7
15416	1464	-6796	-20	-61	6
15352	1424	-6784	-26	-38	11
15436	1448	-6744	-32	12	-1
15236	1380	-6636	-38	-4	10
15272	1368	-6900	-52	-13	-14
15784	1468	-6756	-42	-9	30
15752	1580	-7104	2	-43	-7
15212	1568	-7040	-33	-30	-27
15404	1528	-7092	-28	-3	-9
15512	1448	-6528	-21	-325	73
11856	-2060	-13460	-220	-2144	110
3224	-9676	-15140	1240	-208	-89
3212	-10492	-13332	169	-191	98
2416	-11508	-12900	14	-15	5
2208	-11404	-12208	-3	-3	-39
2416	-11288	-11816	-65	-39	-6
2296	-11276	-12496	-28	6	-17
2864	-11332	-12276	27	27	-40
2432	-11192	-12028	-62	-19	-40
2508	-11368	-12200	-35	-31	49
2768	-11316	-12440	-87	-69	23
2684	-11100	-12592	-61	16	13
3120	-10488	-15004	-791	302	-462
2768	-1692	-15692	-957	677	-1143
7764	1464	-15908	-3458	-1646	245
948	14212	-3088	-1634	-478	-651
-596	14940	-8092	-124	-172	47
92	14812	-7516	76	168	61
404	14428	-9032	-41	-34	-8
-276	14604	-8184	-53	41	-29
468	14580	-8524	-87	-75	-32
-64	14448	-7840	-72	-19	-58
20	14640	-8028	-65	-54	1
-304	14780	-8116	-2	53	12
-204	14720	-8000	-13	-23	-31
-272	14500	-7812	-31	-9	-49
-828	14556	-7820	-8	-4	0
-456	14676	-7916	-44	-41	8
-620	13248	-6380	635	385	90
7348	6868	-16540	503	185	393
7280	3572	-16628	257	198	230
6976	2964	-15548	-30	-39	25
7320	2644	-15784	88	-34	149
6524	1700	-15796	93	-100	14
6256	448	-16476	182	-133	60
4288	-1688	-16400	-325	-16	-118
4704	-776	-15904	-128	-57	-2
4832	-16	-16584	-37	-25	28
5116	-212	-16616	12	-18	-25
5124	-28	-16508	-64	-21	-4
5036	44	-16536	-43	-16	-6
5100	60	-16460	-41	-16	-16
5096	84	-16560	-45	-18	-11
5216	240	-16464	-70	-18	-1
5108	120	-16444	-9	-16	9
5136	152	-16544	-44	-9	-4
5056	184	-16376	-47	-11	-4
5124	128	-16568	-59	-24	-10
5124	56	-16604	-18	-12	8
5136	152	-16296	-49	-14	-13
5088	160	-16548	-35	-16	-1
4980	144	-16520	-29	-22	0
5040	-52	-16652	-17	-15	9
5092	4	-16580	-28	-17	0
5056	132	-16500	-30	-13	2
5040	180	-16632	-37	-21	-7
5036	92	-16368	-27	-11	0
5064	76	-16456	-25	-19	19
5100	232	-16400	-22	-22	2
5072	36	-16436	-6	-5	-2
5096	108	-16388	-22	-11	4
5092	168	-16716	-51	-20	-10
5184	108	-16440	-28	-14	0
5052	116	-16640	-41	-15	2
5004	152	-16448	-14	-13	6
5260	116	-16576	-11	-11	21
5164	164	-16204	-29	-15	-10
5084	84	-16476	-9	-7	2
4868	108	-16332	-49	-12	-6
5048	220	-16604	-36	-12	0
5016	196	-16424	-26	-16	6
5132	252	-16604	-19	-15	5
5084	160	-16440	-58	-20	-12
5112	176	-16548	-42	-18	-6
5088	60	-16340	-34	-18	0
5084	184	-16356	-38	-17	-8
5044	236	-16488	-34	-14	-4
4968	100	-16312	-10	-9	17
5224	180	-16488	-61	-18	-14
5068	284	-16420	-26	-20	0
5164	188	-16512	-35	-16	-2
5120	256	-16408	-30	-20	-8
4992	224	-16536	-6	-6	10
4972	216	-16592	-25	-13	5
5136	220	-16528	-56	-22	-10
4940	172	-16416	-27	-13	3
5104	220	-16368	-37	-19	-4
5128	240	-16424	-42	-17	-7
5016	244	-16388	-11	-11	3
5036	192	-16548	-53	-19	-7
5036	196	-16512	-32	-14	-2
5028	168	-16332	-53	-21	-6
4944	72	-16296	-35	-19	0
5032	104	-16392	-24	-14	0
5040	260	-16464	-34	-15	-4
5032	208	-16508	-41	-16	-5
5044	196	-16504	-46	-16	-9
5012	244	-16440	-24	-14	1
5060	252	-16440	-45	-18	-7
5068	100	-16348	-46	-20	-4
5036	304	-16528	-94	-30	-8
4824	500	-16300	2	-4	11
5036	548	-16520	48	-1	-52
4972	428	-16464	-81	-25	-23
4912	452	-16596	-51	-21	7
4896	636	-16428	-22	-6	-28
5040	380	-16608	-34	-17	-8
4996	556	-16412	-39	-16	-12
4968	352	-16676	-53	-23	-6
5004	440	-16524	-58	-23	-3
4940	476	-16516	-36	-18	-1
5052	492	-16624	-41	-23	-9
5012	520	-16476	-38	-12	0
4992	504	-16576	-69	-32	-15
4888	564	-16740	-21	-19	16
4924	412	-16384	-73	-19	-23
4976	208	-16460	-17	-11	6
4960	408	-16544	-13	-17	0
4948	288	-16504	-35	-9	9
5008	308	-16512	-56	-9	-12
5064	288	-16708	-44	-14	-7
5136	312	-16512	-23	-13	3
5056	212	-16568	-33	-21	0
4880	192	-16424	-42	-16	-8
4984	276	-16552	-22	-14	18
5048	264	-16616	-27	-13	-2
5016	356	-16604	-41	-17	-6
5156	320	-16488	-28	-17	-4
5012	372	-16560	-44	-18	-7
4948	388	-16472	-24	-14	2
5068	292	-16504	-37	-17	-5
5064	360	-16648	-57	-22	-9
4952	316	-16524	-20	-17	6
4992	348	-16580	-43	-19	-6
5060	336	-16408	-36	-12	-19
4952	208	-16544	-31	-21	-4
5044	312	-16536	-27	-13	0
5032	308	-16544	-64	-29	-20
4944	248	-16716	-36	-15	-7
5000	264	-16592	-28	-14	0
4968	456	-16520	-58	-19	-8
5012	256	-16484	-34	-14	-3
5048	208	-16448	-48	-18	-4
4960	356	-16544	-26	-12	4
5020	344	-16568	-43	-20	-6
4808	288	-16368	2	-11	21
5108	368	-16576	-24	-16	2
4944	272	-16580	-36	-16	-6
4968	320	-16428	-10	-12	0
4852	224	-16360	-39	-23	-5
5028	188	-16476	-59	-25	-9
5016	368	-16672	-51	-22	-6
5012	300	-16632	-28	-13	2
5012	300	-16552	-42	-21	-2
5036	236	-16528	-37	-15	-2
5144	312	-16564	-38	-17	-1
5024	244	-16560	-31	-14	-1
4968	336	-16492	-36	-17	-4
5016	256	-16420	-45	-20	-8
5076	280	-16428	-40	-19	-5
4984	348	-16644	-39	-17	-1
4916	348	-16588	-24	-13	2
5008	304	-16516	-32	-16	-2
5000	360	-16668	-37	-16	-1
4880	256	-16564	-29	-16	1
5028	272	-16464	-42	-20	-3
