2484	484	-17040	-38	-16	-3
2356	376	-17108	-36	-18	-8
2364	428	-17256	-35	-19	-1
2444	392	-17044	-36	-14	-5
2332	308	-17096	2356	356	-16948	-36	-15	-6
2380	428	-17068	-34	-17	-5
2432	408	-17508	-37	-14	-7
2424	412	-17148	-34	-16	-5
2344	524	-17216	-35	-16	-5
2480	432	-17084	-35	-18	-4
2364	388	-17128	-35	-19	-4
2352	388	-17272	-36	-18	-6
2472	392	-17128	-36	-19	-3
2476	440	-17088	-35	-19	-4
2440	452	-17088	-35	-19	-5
2372	420	-16932	-36	-18	-3
2360	412	-17200	-39	-17	-7
2424	400	-16972	-38	-18	-4
2480	380	-17060	-35	-21	-4
2496	364	-17032	-36	-19	-4
2472	412	-16756	-37	-21	-4
Arduino doesn't connected
